[ 2025-07-27 23:06:39,243 ] 17 root - INFO - Initiate the data ingestion
[ 2025-07-27 23:06:41,329 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-27 23:06:41,329 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-27 23:06:41,330 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-27 23:06:41,438 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-27 23:06:41,440 ] 19 root - INFO - Data Initiation Completed
[ 2025-07-27 23:06:41,508 ] 23 root - INFO - Initiate the data Validation
[ 2025-07-27 23:06:41,603 ] 32 root - INFO - Required number of columns:2
[ 2025-07-27 23:06:41,605 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-27 23:06:41,605 ] 32 root - INFO - Required number of columns:2
[ 2025-07-27 23:06:41,605 ] 33 root - INFO - Data frame has columns:31
[ 2025-07-27 23:06:41,955 ] 25 root - INFO - data Validation Completed
[ 2025-07-27 23:06:41,956 ] 28 root - INFO - data Transformation started
[ 2025-07-27 23:06:41,956 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-27 23:06:41,956 ] 65 root - INFO - Starting data transformation
[ 2025-07-27 23:06:41,996 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-27 23:06:41,996 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-27 23:06:42,018 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-27 23:06:42,023 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-27 23:06:42,023 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-27 23:06:42,028 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-27 23:06:42,030 ] 32 root - INFO - data Transformation completed
